Name,Age,Height_cm,Weight_kg,Email,JoinDate
Gina,29.0,168.0,58.0,gina@email.com,2023-08-20
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
Isaac,40.0,170.0,66.0,isaac@mail.com,2023-10-10
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Alice,25.0,165.0,55.0,alice@example.com,2023-01-10
Gina,29.0,168.0,58.0,gina@email.com,2023-08-20
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Alice,25.0,165.0,55.0,alice@example.com,2023-01-10
Alice,25.0,165.0,55.0,alice@example.com,2023-01-10
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
David,40.0,175.0,70.0,david@mail.com,2023-04-01
David,40.0,175.0,70.0,david@mail.com,2023-04-01
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
David,40.0,175.0,70.0,david@mail.com,2023-04-01
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Gina,29.0,168.0,58.0,gina@email.com,2023-08-20
Isaac,40.0,170.0,66.0,isaac@mail.com,2023-10-10
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
Alice,25.0,165.0,55.0,alice@example.com,2023-01-10
David,40.0,175.0,70.0,david@mail.com,2023-04-01
Gina,29.0,168.0,65.0,gina@email.com,2023-08-20
Isaac,40.0,170.0,66.0,isaac@mail.com,2023-10-10
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
David,40.0,175.0,70.0,david@mail.com,2023-04-01
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Alice,25.0,165.0,55.0,alice@example.com,2023-01-10
David,40.0,175.0,70.0,david@mail.com,2023-04-01
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
David,40.0,175.0,70.0,david@mail.com,2023-04-01
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Isaac,40.0,170.0,66.0,isaac@mail.com,2023-10-10
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
David,40.0,175.0,70.0,david@mail.com,2023-04-01
David,40.0,175.0,70.0,david@mail.com,2023-04-01
David,40.0,175.0,70.0,david@mail.com,2023-04-01
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
David,40.0,175.0,70.0,david@mail.com,2023-04-01
Isaac,40.0,170.0,66.0,isaac@mail.com,2023-10-10
David,40.0,175.0,70.0,david@mail.com,2023-04-01
David,40.0,175.0,70.0,david@mail.com,2023-04-01
Isaac,40.0,170.0,66.0,isaac@mail.com,2023-10-10
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
Bob,40.0,170.0,65.0,bob@email.com,2023-01-10
Bob,30.0,170.0,65.0,bob@email.com,2023-01-10
Gina,29.0,168.0,58.0,gina@email.com,2023-08-20
Frank,40.0,172.0,65.0,frank@mail.com,2023-07-15
David,40.0,175.0,70.0,david@mail.com,2023-04-01
